district_id,district_code,district_name,province_code
1,12,ALADAĞ,1
2,2,CEYHAN,1
3,15,ÇUKUROVA,1
4,3,FEKE,1
5,13,İMAMOĞLU,1
6,4,KARAİSALI,1
7,5,KARATAŞ,1
8,6,KOZAN,1
9,7,POZANTI,1
10,8,SAİMBEYLİ,1
11,14,SARIÇAM,1
12,1,SEYHAN,1
13,9,TUFANBEYLİ,1
14,10,YUMURTALIK,1
15,11,YÜREĞİR,1
16,2,BESNİ,2
17,3,ÇELİKHAN,2
18,4,GERGER,2
19,5,GÖLBAŞI,2
20,6,KAHTA,2
21,1,MERKEZ,2
22,7,SAMSAT,2
23,8,SİNCİK,2
24,9,TUT,2
25,12,BAŞMAKÇI,3
26,13,BAYAT,3
27,2,BOLVADİN,3
28,3,ÇAY,3
29,15,ÇOBANLAR,3
30,4,DAZKIRI,3
31,5,DİNAR,3
32,6,EMİRDAĞ,3
33,16,EVCİLER,3
34,17,HOCALAR,3
35,7,İHSANİYE,3
36,14,İSCEHİSAR,3
37,18,KIZILÖREN,3
38,1,MERKEZ,3
39,8,SANDIKLI,3
40,9,SİNANPAŞA,3
41,10,SULTANDAĞI,3
42,11,ŞUHUT,3
43,2,DİYADİN,4
44,3,DOĞUBAYAZIT,4
45,4,ELEŞKİRT,4
46,5,HAMUR,4
47,1,MERKEZ,4
48,6,PATNOS,4
49,7,TAŞLIÇAY,4
50,8,TUTAK,4
51,3,AĞAÇÖREN,68
52,6,ESKİL,68
53,7,GÜLAĞAÇ,68
54,4,GÜZELYURT,68
55,1,MERKEZ,68
56,2,ORTAKÖY,68
57,5,SARIYAHŞİ,68
58,8,SULTANHANI,68
59,2,GÖYNÜCEK,5
60,3,GÜMÜŞHACIKÖY,5
61,7,HAMAMÖZÜ,5
62,1,MERKEZ,5
63,4,MERZİFON,5
64,5,SULUOVA,5
65,6,TAŞOVA,5
66,22,AKYURT,6
67,1,ALTINDAĞ,6
68,2,AYAŞ,6
69,3,BALA,6
70,4,BEYPAZARI,6
71,5,ÇAMLIDERE,6
72,6,ÇANKAYA,6
73,7,ÇUBUK,6
74,8,ELMADAĞ,6
75,23,ETİMESGUT,6
76,24,EVREN,6
77,17,GÖLBAŞI,6
78,9,GÜDÜL,6
79,10,HAYMANA,6
80,21,KAHRAMANKAZAN,6
81,11,KALECİK,6
82,18,KEÇİÖREN,6
