neighborhood_id,neighborhood_value,neighborhood_postalcode,neighborhood_name,town_name,district_id
1,1/2,1722,AKÖREN MAH,MADENLİ,1
2,1/1,1720,AKPINAR MAH,ALADAĞ,1
3,2/1,1720,BAŞPINAR MAH,ALADAĞ,1
4,2/2,1722,BOZTAHTA MAH,MADENLİ,1
5,3/2,1722,BÜYÜKSOFULU MAH,MADENLİ,1
6,4/2,1722,CERİTLER MAH,MADENLİ,1
7,6/2,1722,DAİLER MAH,MADENLİ,1
8,5/2,1722,DARILIK MAH,MADENLİ,1
9,7/2,1722,DÖLEKLİ MAH,MADENLİ,1
10,11/2,1722,EBRİŞİM MAH,MADENLİ,1
11,8/2,1722,EĞNER MAH,MADENLİ,1
12,9/2,1722,GERDİBİ MAH,MADENLİ,1
13,25/2,1722,GİREĞİYENİKÖY MAH,MADENLİ,1
14,10/2,1722,GÖKÇEKÖY MAH,MADENLİ,1
15,12/2,1722,KABASAKAL MAH,MADENLİ,1
16,13/2,1722,KARAHAN MAH,MADENLİ,1
17,14/2,1722,KICAK MAH,MADENLİ,1
18,15/2,1722,KIŞLAK MAH,MADENLİ,1
19,16/2,1722,KIZILDAM MAH,MADENLİ,1
20,17/2,1722,KÖKEZ MAH,MADENLİ,1
21,18/2,1722,KÖPRÜCÜK MAH,MADENLİ,1
22,19/2,1722,KÜP MAH,MADENLİ,1
23,20/2,1722,MADENLİ MAH,MADENLİ,1
24,3/1,1720,MANSURLU MAH,ALADAĞ,1
25,21/2,1722,MAZILIK MAH,MADENLİ,1
26,24/2,1722,POSYAĞBASAN MAH,MADENLİ,1
27,4/1,1720,SİNANPAŞA MAH,ALADAĞ,1
28,22/2,1722,TOPALLI MAH,MADENLİ,1
29,23/2,1722,UZUNKUYU MAH,MADENLİ,1
30,26/2,1722,YETİMLİ MAH,MADENLİ,1
31,27/2,1722,YÜKSEKÖREN MAH,MADENLİ,1
32,51/2,1922,ADAPINAR MAH,BÜYÜKMANGIT,2
33,1/2,1922,ADATEPE MAH,BÜYÜKMANGIT,2
34,66/2,1922,AĞAÇLI MAH,BÜYÜKMANGIT,2
35,12/2,1922,AĞAÇPINAR MAH,BÜYÜKMANGIT,2
36,67/2,1922,AKDAM MAH,BÜYÜKMANGIT,2
37,52/2,1922,ALTIGÖZBEKİRLİ MAH,BÜYÜKMANGIT,2
38,13/2,1922,ALTIKARA MAH,BÜYÜKMANGIT,2
39,30/1,1920,ALTIOCAK MAH,CEYHAN,2
40,27/1,1920,ATATÜRK MAH,CEYHAN,2
41,1/1,1920,AYDEMİROĞLU MAH,CEYHAN,2
42,43/2,1922,AYDINLAR MAH,BÜYÜKMANGIT,2
43,14/2,1922,AZİZLİ MAH,BÜYÜKMANGIT,2
44,68/2,1922,BAŞÖREN MAH,BÜYÜKMANGIT,2
45,2/1,1920,BELEDİYE EVLERİ MAH,CEYHAN,2
46,10/2,1922,BİRKENT MAH,BÜYÜKMANGIT,2
47,4/1,1920,BOTA MAH,CEYHAN,2
48,5/1,1920,BURHANİYE MAH,CEYHAN,2
49,54/2,1922,BURHANLI MAH,BÜYÜKMANGIT,2
50,15/2,1922,BÜYÜKBURHANİYE MAH,BÜYÜKMANGIT,2
51,3/1,1920,BÜYÜKKIRIM MAH,CEYHAN,2
52,2/2,1922,BÜYÜKMANGIT MAH,BÜYÜKMANGIT,2
53,16/2,1922,ÇAKALDERE MAH,BÜYÜKMANGIT,2
54,69/2,1922,CAMUZAĞILI MAH,BÜYÜKMANGIT,2
55,56/2,1922,ÇATAKLI MAH,BÜYÜKMANGIT,2
56,70/2,1922,ÇATALHÜYÜK MAH,BÜYÜKMANGIT,2
57,17/2,1922,ÇEVRETEPE MAH,BÜYÜKMANGIT,2
58,55/2,1922,CEYHANBEKİRLİ MAH,BÜYÜKMANGIT,2
59,18/2,1922,ÇİÇEKLİ MAH,BÜYÜKMANGIT,2
